URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/us/core/ValueSet/us-core-documentreference-type,7.0.0,active,"2.16.840.1.113883.4.642.40.2.48.11",USCoreDocumentReferenceType,US Core DocumentReference Type,"The US Core DocumentReference Type Value Set includes all LOINC values whose SCALE is ""Doc"" in the LOINC database and the HL7 v3 Code System NullFlavor concept 'unknown'","StructureDefinition/cdex-task-data-request","THO (V3),LOINC"
http://hl7.org/fhir/us/davinci-cdex/ValueSet/cdex-POU,2.1.0,active,"2.16.840.1.113883.4.642.40.21.48.1",CDexPOUCodes,CDex Purpose of Use Value Set,"The set of purpose of use (POU) codes for requesting data. This code set is composed of [FHIR core Purpose of Use security labels](http://hl7.org/fhir/security-labels.html#core) and additional codes defined by this Guide.","StructureDefinition/cdex-task-attachment-request,StructureDefinition/cdex-task-data-request","THO (V3),Internal"
http://hl7.org/fhir/us/davinci-cdex/ValueSet/cdex-claim-use,2.1.0,active,"2.16.840.1.113883.4.642.40.21.48.2",CDexClaimUseCodes,CDex Claim Use Value Set,"The purpose of a Claim resource and the reason for attachments. It includes the codes ""preauthorization"" and ""claim"".","StructureDefinition/cdex-task-attachment-request,OperationDefinition/submit-attachment,StructureDefinition/cdex-parameters-submit-attachment","hl7.fhir.r4.core"
http://hl7.org/fhir/us/davinci-cdex/ValueSet/cdex-data-request-task-code,2.1.0,active,"2.16.840.1.113883.4.642.40.21.48.3",CDexDataRequestTaskCode,CDex Data Request Task Code Value Set,"Codes used to identify the type of data request. It includes the codes “data-request-query”, “data-request-code”, and “data-request-questionnaire”.","StructureDefinition/cdex-task-data-request","Internal"
http://hl7.org/fhir/us/davinci-cdex/ValueSet/cdex-identifier-types,2.1.0,active,"2.16.840.1.113883.4.642.40.21.48.4",CDexIdentifierTypes,CDex Identifier Types Value Set,"Identifier types for providers and organizations. It includes the codes “TAX” and “NPI”.","StructureDefinition/cdex-signature","THO (V2)"
http://hl7.org/fhir/us/davinci-cdex/ValueSet/cdex-loinc-attachment-codes,2.1.0,active,"1.3.6.1.4.1.12009.10.2.6",CDexLOINCAttachmentCodesValueSet,CDex LOINC Attachment Codes Value Set,"This value set includes LOINC terms that can be sent by a payer as part of an HL7 attachment request for additional information. It has been curated by the HL7 Payer/Provider Information Exchange (PIE) Work Group.  More information about using LOINC in HIPAA attachments and the source of this value set can be found at [LOINC Attahments](https://loinc.org/attachments/).","StructureDefinition/cdex-task-attachment-request,StructureDefinition/cdex-parameters-submit-attachment","LOINC"
http://hl7.org/fhir/us/davinci-cdex/ValueSet/cdex-pwk01-attachment-report-type-code,2.1.0,active,"1.3.6.1.4.1.12009.10.2.6",CDexPWK01AttachmentReportTypeCodeValueSet,CDex PWK01 Attachment Report Type Code Value Set,"In addition to using LOINC attachment codes, a payer may request for additional information from the provider to support a prior authorization request using X12's PWK01 Attachment Report Type Code.  Note that the PWK01 codes will not be published in due to X12 IP restrictions. ","StructureDefinition/cdex-task-attachment-request,StructureDefinition/cdex-parameters-submit-attachment","Other"
http://hl7.org/fhir/us/davinci-cdex/ValueSet/cdex-work-queue,2.1.0,active,"2.16.840.1.113883.4.642.40.21.48.5",CDexWorkQueueCodes,CDex Work Queue Value Set,"The set work queue tags that the provider may use in their workflow to process requests. This code set is composed of codes defined by this Guide.","StructureDefinition/cdex-task-data-request","Internal"
http://hl7.org/fhir/us/davinci-hrex/ValueSet/hrex-task-status,1.1.0,active,"2.16.840.1.113883.4.642.40.19.48.2",HRexTaskStatus,HRex Task Status ValueSet,"The set of task codes allowed for use in HRex data request tasks","StructureDefinition/cdex-task-attachment-request,StructureDefinition/cdex-task-data-request","hl7.fhir.r4.core"
http://hl7.org/fhir/us/davinci-pas/ValueSet/PASTaskCodes,2.1.0,active,"2.16.840.1.113883.4.642.40.24.48.6",PASTaskCodes,PAS Task Codes,"The code for the task that is request additional information.","StructureDefinition/cdex-task-attachment-request","hl7.fhir.us.davinci-pas"
